Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
8000	32	256	|	320	-1	squared_l2
0.5064 %	0.62453 %	0.684409 %	0.7322115 %	|	0.9528 %	0.9994 %	0.99201 %	0.9998 %	0.99987 %	0.997786 %	1124990.8351898193
8000	32	256	|	384	-1	squared_l2
0.5064 %	0.62453 %	0.684441 %	0.7323086 %	|	0.9528 %	0.9995 %	0.99204 %	0.9999 %	0.99991 %	0.997952 %	1331868.0238723755
8000	32	256	|	448	-1	squared_l2
0.5064 %	0.62454 %	0.684447 %	0.7323568 %	|	0.9528 %	0.9995 %	0.99206 %	0.9999 %	0.99993 %	0.99804 %	1540499.6919631958
8000	32	256	|	512	-1	squared_l2
0.5064 %	0.62455 %	0.684453 %	0.7323812 %	|	0.9528 %	0.9995 %	0.99207 %	0.9999 %	0.99994 %	0.998097 %	1748149.0182876587
8000	32	256	|	576	-1	squared_l2
0.5064 %	0.62455 %	0.684462 %	0.7323973 %	|	0.9529 %	0.9996 %	0.9921 %	1.0 %	0.99998 %	0.998134 %	1958167.6721572876
8000	32	256	|	640	-1	squared_l2
0.5064 %	0.62455 %	0.684467 %	0.7324093 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	0.99999 %	0.998159 %	2189103.5509109497
8000	32	256	|	704	-1	squared_l2
0.5064 %	0.62455 %	0.68447 %	0.732415 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998173 %	2355667.0093536377
8000	32	256	|	768	-1	squared_l2
0.5064 %	0.62455 %	0.684473 %	0.7324186 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998187 %	2553154.6926498413
8000	32	256	|	1024	-1	squared_l2
0.5064 %	0.62455 %	0.684474 %	0.7324249 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998199 %	3351688.241958618
8000	32	256	|	1280	-1	squared_l2
0.5064 %	0.62455 %	0.684473 %	0.7324259 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998202 %	-1
8000	32	256	|	1536	-1	squared_l2
0.5064 %	0.62455 %	0.684474 %	0.7324262 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998203 %	-1
8000	32	256	|	2048	-1	squared_l2
0.5064 %	0.62455 %	0.684474 %	0.7324268 %	|	0.9529 %	0.9996 %	0.99211 %	1.0 %	1.0 %	0.998203 %	-1
8000	16	256	|	1	-1	squared_l2
0.1927 %	0.25765 %	0.27371 %	0.2652247 %	|	0.4003 %	0.4527 %	0.40464 %	0.4547 %	0.41842 %	0.36696 %	18577.427864074707
8000	16	256	|	16	-1	squared_l2
0.2846 %	0.39905 %	0.468058 %	0.5244753 %	|	0.7205 %	0.9235 %	0.83479 %	0.9409 %	0.92574 %	0.862666 %	48245.534896850586
8000	16	256	|	32	-1	squared_l2
0.2879 %	0.40446 %	0.477442 %	0.5415833 %	|	0.7367 %	0.9564 %	0.8621 %	0.9775 %	0.96881 %	0.908532 %	76735.08167266846
8000	16	256	|	64	-1	squared_l2
