Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.432 %	0.5229 %	0.57715 %	0.614649 %	|	0.869 %	0.962 %	0.9258 %	0.963 %	0.9483 %	0.90778 %	246.3686466217041
4000	32	256	|	128	-1	squared_l2
0.433 %	0.5268 %	0.58451 %	0.639027 %	|	0.881 %	0.992 %	0.9494 %	0.993 %	0.9795 %	0.95624 %	255.9192180633545
4000	32	256	|	256	-1	squared_l2
0.433 %	0.5275 %	0.58718 %	0.648643 %	|	0.882 %	0.996 %	0.9587 %	0.997 %	0.9943 %	0.97905 %	274.87659454345703
4000	32	256	|	320	-1	squared_l2
0.433 %	0.5276 %	0.5875 %	0.649975 %	|	0.882 %	0.996 %	0.9601 %	0.997 %	0.9964 %	0.98301 %	294.94476318359375
4000	32	256	|	384	-1	squared_l2
0.433 %	0.5276 %	0.58765 %	0.650737 %	|	0.882 %	0.997 %	0.9605 %	0.998 %	0.9975 %	0.9851 %	323.9767551422119
4000	32	256	|	448	-1	squared_l2
0.433 %	0.5276 %	0.58769 %	0.651159 %	|	0.882 %	0.997 %	0.9607 %	0.998 %	0.9984 %	0.98641 %	341.05730056762695
4000	32	256	|	512	-1	squared_l2
0.433 %	0.5276 %	0.58773 %	0.651392 %	|	0.882 %	0.997 %	0.9608 %	0.998 %	0.9988 %	0.98723 %	364.5753860473633
4000	32	256	|	576	-1	squared_l2
0.433 %	0.5276 %	0.58772 %	0.651533 %	|	0.882 %	0.997 %	0.9607 %	0.999 %	0.9991 %	0.98771 %	383.48889350891113
4000	32	256	|	640	-1	squared_l2
0.433 %	0.5276 %	0.58775 %	0.651636 %	|	0.882 %	0.998 %	0.9608 %	1.0 %	0.9993 %	0.98805 %	387.82501220703125
4000	32	256	|	704	-1	squared_l2
0.433 %	0.5276 %	0.58775 %	0.65171 %	|	0.882 %	0.998 %	0.9609 %	1.0 %	0.9995 %	0.98842 %	415.71879386901855
4000	32	256	|	768	-1	squared_l2
0.433 %	0.5276 %	0.58775 %	0.651749 %	|	0.882 %	0.998 %	0.9609 %	1.0 %	0.9995 %	0.98863 %	397.7530002593994
4000	32	256	|	1024	-1	squared_l2
0.433 %	0.5276 %	0.58775 %	0.651826 %	|	0.882 %	0.998 %	0.9609 %	1.0 %	0.9998 %	0.98891 %	475.34632682800293
4000	32	256	|	1280	-1	squared_l2
0.433 %	0.5276 %	0.58775 %	0.651843 %	|	0.882 %	0.998 %	0.9609 %	1.0 %	0.9999 %	0.98895 %	528.5148620605469
4000	32	256	|	1536	-1	squared_l2
0.433 %	0.5276 %	0.58775 %	0.651842 %	|	0.882 %	0.998 %	0.9609 %	1.0 %	0.9999 %	0.98896 %	639.2872333526611
4000	32	256	|	2048	-1	squared_l2
0.433 %	0.5276 %	0.58776 %	0.651847 %	|	0.882 %	0.998 %	0.9609 %	1.0 %	0.9999 %	0.98899 %	892.9684162139893
4000	64	256	|	1	-1	squared_l2
