Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	20	|	310	-1	squared_l2
0.0562 %	0.49211 %	0.551944 %	0.3926123 %	|	0.588 %	0.8713 %	0.83257 %	0.9552 %	0.94361 %	0.82764 %	707.2715759277344
800	0.2	20	|	400	-1	squared_l2
0.0562 %	0.49098 %	0.54987 %	0.3894951 %	|	0.5869 %	0.8725 %	0.83334 %	0.9588 %	0.94652 %	0.82501 %	847.3608493804932
800	0.2	20	|	500	-1	squared_l2
0.0561 %	0.4901 %	0.547274 %	0.3864432 %	|	0.5873 %	0.8745 %	0.83335 %	0.9617 %	0.94841 %	0.822208 %	1006.6368579864502
800	0.2	20	|	800	-1	squared_l2
0.056 %	0.4877 %	0.541478 %	0.380288 %	|	0.5841 %	0.8709 %	0.82884 %	0.9621 %	0.94723 %	0.815545 %	1369.03977394104
800	0.2	10	|	1	-1	squared_l2
0.0227 %	0.27347 %	0.125696 %	0.0567428 %	|	0.3535 %	0.4446 %	0.37109 %	0.4947 %	0.43148 %	0.198804 %	89.20669555664062
800	0.2	10	|	2	-1	squared_l2
0.0209 %	0.35441 %	0.195917 %	0.0797804 %	|	0.4693 %	0.6271 %	0.59697 %	0.7215 %	0.70949 %	0.313761 %	113.23857307434082
800	0.2	10	|	4	-1	squared_l2
0.0211 %	0.35256 %	0.222675 %	0.0889006 %	|	0.4722 %	0.6557 %	0.62372 %	0.785 %	0.77623 %	0.370674 %	137.69245147705078
800	0.2	10	|	8	-1	squared_l2
0.021 %	0.34118 %	0.230731 %	0.0899953 %	|	0.4605 %	0.6457 %	0.61344 %	0.7956 %	0.78485 %	0.412663 %	165.3461456298828
800	0.2	10	|	16	-1	squared_l2
0.0212 %	0.33217 %	0.229059 %	0.0872017 %	|	0.4496 %	0.6306 %	0.59378 %	0.7897 %	0.76996 %	0.413281 %	184.36050415039062
800	0.2	10	|	25	-1	squared_l2
0.0211 %	0.32828 %	0.220297 %	0.083757 %	|	0.4438 %	0.6206 %	0.58177 %	0.784 %	0.7569 %	0.385339 %	211.6250991821289
800	0.2	10	|	30	-1	squared_l2
0.0212 %	0.32721 %	0.216899 %	0.0805915 %	|	0.4438 %	0.6171 %	0.57741 %	0.7811 %	0.75124 %	0.376751 %	219.3315029144287
800	0.2	10	|	35	-1	squared_l2
0.0209 %	0.32629 %	0.214542 %	0.0779523 %	|	0.4426 %	0.6136 %	0.57348 %	0.7798 %	0.74735 %	0.369691 %	229.51793670654297
800	0.2	10	|	40	-1	squared_l2
0.0209 %	0.32547 %	0.212092 %	0.0753072 %	|	0.4418 %	0.6107 %	0.57018 %	0.7783 %	0.74332 %	0.363052 %	239.1209602355957
800	0.2	10	|	45	-1	squared_l2
0.0211 %	0.3251 %	0.210417 %	0.0732655 %	|	0.4408 %	0.6086 %	0.56758 %	0.7774 %	0.74043 %	0.357755 %	248.1210231781006
800	0.2	10	|	50	-1	squared_l2
0.0214 %	0.32477 %	0.208706 %	0.0713142 %	|	0.4402 %	0.6072 %	0.566 %	0.7768 %	0.73831 %	0.353184 %	261.2767219543457
800	0.2	10	|	55	-1	squared_l2
0.0212 %	0.32407 %	0.208192 %	0.0694417 %	|	0.4393 %	0.6059 %	0.56405 %	0.7752 %	0.73565 %	0.350463 %	268.1727409362793
800	0.2	10	|	60	-1	squared_l2
0.0212 %	0.3237 %	0.20857 %	0.0683505 %	|	0.4388 %	0.6052 %	0.56333 %	0.7748 %	0.73421 %	0.349167 %	277.83942222595215
800	0.2	10	|	65	-1	squared_l2
0.0211 %	0.32349 %	0.207748 %	0.0672089 %	|	0.4387 %	0.6037 %	0.56197 %	0.7729 %	0.73179 %	0.346563 %	289.9911403656006
800	0.2	10	|	75	-1	squared_l2
0.0213 %	0.32252 %	0.205496 %	0.0654763 %	|	0.4372 %	0.6014 %	0.55877 %	0.7701 %	0.72706 %	0.340319 %	301.52368545532227
800	0.2	10	|	90	-1	squared_l2
0.021 %	0.3207 %	0.201247 %	0.0647263 %	|	0.4347 %	0.598 %	0.55361 %	0.7647 %	0.72057 %	0.331152 %	330.1119804382324
800	0.2	10	|	110	-1	squared_l2
0.0207 %	0.3196 %	0.198785 %	0.0625141 %	|	0.4337 %	0.5945 %	0.54953 %	0.7612 %	0.7145 %	0.323942 %	356.0917377471924
800	0.2	10	|	130	-1	squared_l2
0.0206 %	0.31898 %	0.197098 %	0.060431 %	|	0.4328 %	0.5915 %	0.5463 %	0.757 %	0.70851 %	0.318064 %	390.63239097595215
800	0.2	10	|	150	-1	squared_l2
0.0206 %	0.31843 %	0.195485 %	0.0587993 %	|	0.4326 %	0.5893 %	0.54378 %	0.7546 %	0.70407 %	0.313271 %	419.6584224700928
800	0.2	10	|	170	-1	squared_l2
0.0205 %	0.31759 %	0.192588 %	0.0570646 %	|	0.4311 %	0.5868 %	0.54019 %	0.7507 %	0.70003 %	0.307947 %	445.8956718444824
800	0.2	10	|	200	-1	squared_l2
0.0203 %	0.3163 %	0.189818 %	0.0550725 %	|	0.4299 %	0.5834 %	0.53629 %	0.7455 %	0.69428 %	0.301762 %	483.77299308776855
800	0.2	10	|	220	-1	squared_l2
0.0201 %	0.31592 %	0.188295 %	0.0540155 %	|	0.4296 %	0.5814 %	0.53445 %	0.743 %	0.69087 %	0.298526 %	509.2604160308838
800	0.2	10	|	250	-1	squared_l2
0.0202 %	0.3148 %	0.185964 %	0.0523587 %	|	0.4292 %	0.5791 %	0.53173 %	0.7399 %	0.68619 %	0.292812 %	547.1272468566895
800	0.2	10	|	310	-1	squared_l2
0.0205 %	0.31356 %	0.182847 %	0.050269 %	|	0.4273 %	0.5752 %	0.52784 %	0.7339 %	0.67954 %	0.285745 %	629.7087669372559
800	0.2	10	|	400	-1	squared_l2
0.02 %	0.31175 %	0.179312 %	0.048211 %	|	0.4245 %	0.5704 %	0.52273 %	0.7267 %	0.67117 %	0.278231 %	760.1261138916016
800	0.2	10	|	500	-1	squared_l2
0.0202 %	0.30956 %	0.175695 %	0.0465178 %	|	0.4208 %	0.5658 %	0.51748 %	0.7201 %	0.66326 %	0.27185 %	862.3552322387695
800	0.2	10	|	800	-1	squared_l2
0.0191 %	0.30402 %	0.170146 %	0.0437728 %	|	0.4142 %	0.5532 %	0.50714 %	0.7038 %	0.64792 %	0.261189 %	1160.3388786315918
800	0.4	100	|	1	-1	squared_l2
