Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
0.6339 %	0.73055 %	0.781293 %	0.8176746 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	8544793.216228485
7000	0.2	128	|	6656	-1	squared_l2
0.6339 %	0.73055 %	0.781293 %	0.8176746 %	|	0.981 %	0.9977 %	0.99499 %	0.9993 %	0.99945 %	0.998703 %	9331844.625711441
8000	0.55	64	|	1	-1	squared_l2
0.1962 %	0.25566 %	0.267641 %	0.2563509 %	|	0.385 %	0.4441 %	0.38991 %	0.4519 %	0.41006 %	0.356605 %	2967.3917293548584
8000	0.55	64	|	16	-1	squared_l2
0.3144 %	0.42567 %	0.488931 %	0.5376539 %	|	0.7391 %	0.9222 %	0.84151 %	0.9447 %	0.92163 %	0.860369 %	13585.246562957764
8000	0.55	64	|	32	-1	squared_l2
0.3171 %	0.43325 %	0.502431 %	0.5597835 %	|	0.757 %	0.9519 %	0.87567 %	0.9769 %	0.96533 %	0.911961 %	24377.976417541504
8000	0.55	64	|	64	-1	squared_l2
0.3185 %	0.43615 %	0.507676 %	0.5699352 %	|	0.7653 %	0.9664 %	0.8902 %	0.9919 %	0.98484 %	0.936744 %	45357.250928878784
8000	0.55	64	|	128	-1	squared_l2
0.3189 %	0.43686 %	0.509271 %	0.5735724 %	|	0.7668 %	0.9701 %	0.89452 %	0.9961 %	0.99156 %	0.946264 %	86263.80038261414
8000	0.55	64	|	256	-1	squared_l2
0.3193 %	0.43702 %	0.509535 %	0.5744707 %	|	0.7677 %	0.9711 %	0.89553 %	0.9973 %	0.99331 %	0.94876 %	166513.19313049316
8000	0.55	64	|	320	-1	squared_l2
0.3192 %	0.43671 %	0.509596 %	0.5745326 %	|	0.7668 %	0.9712 %	0.89555 %	0.9974 %	0.99347 %	0.949 %	206350.08120536804
8000	0.55	64	|	384	-1	squared_l2
0.3192 %	0.43672 %	0.509619 %	0.5745581 %	|	0.7668 %	0.9712 %	0.89556 %	0.9975 %	0.99359 %	0.949094 %	245889.30773735046
8000	0.55	64	|	448	-1	squared_l2
0.3193 %	0.43681 %	0.509571 %	0.5745435 %	|	0.7671 %	0.9713 %	0.89563 %	0.9975 %	0.9936 %	0.949138 %	285367.3083782196
8000	0.55	64	|	512	-1	squared_l2
0.3194 %	0.4369 %	0.509548 %	0.5745562 %	|	0.7671 %	0.9712 %	0.89568 %	0.9975 %	0.99362 %	0.949185 %	324579.4234275818
8000	0.55	64	|	576	-1	squared_l2
0.3194 %	0.43691 %	0.509547 %	0.5745544 %	|	0.767 %	0.9712 %	0.89574 %	0.9975 %	0.99363 %	0.949206 %	363857.4728965759
8000	0.55	64	|	640	-1	squared_l2
