Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.0414 %	0.143 %	0.285858 %	0.4256669 %	|	0.2005 %	0.4896 %	0.4332 %	0.7185 %	0.71055 %	0.660718 %	120.50199508666992
800	0.2	10	|	16	-1	dot_product
0.0417 %	0.1436 %	0.286694 %	0.4269003 %	|	0.2027 %	0.4961 %	0.43645 %	0.7425 %	0.72833 %	0.668702 %	143.4621810913086
800	0.2	10	|	25	-1	dot_product
0.0419 %	0.14376 %	0.286988 %	0.4268238 %	|	0.2032 %	0.4984 %	0.43777 %	0.7522 %	0.73403 %	0.670571 %	158.1594944000244
800	0.2	10	|	30	-1	dot_product
0.0419 %	0.14387 %	0.287112 %	0.4267573 %	|	0.2033 %	0.4996 %	0.43831 %	0.7557 %	0.73637 %	0.671219 %	163.3894443511963
800	0.2	10	|	35	-1	dot_product
0.0419 %	0.14391 %	0.287172 %	0.4266841 %	|	0.2033 %	0.4999 %	0.4386 %	0.7573 %	0.73755 %	0.671644 %	163.48505020141602
800	0.2	10	|	40	-1	dot_product
0.0419 %	0.14393 %	0.287197 %	0.4266108 %	|	0.2033 %	0.5 %	0.43874 %	0.7586 %	0.73862 %	0.671948 %	175.23908615112305
800	0.2	10	|	45	-1	dot_product
0.0419 %	0.14398 %	0.287229 %	0.4265229 %	|	0.2034 %	0.5007 %	0.43891 %	0.7598 %	0.73949 %	0.672156 %	177.8395175933838
800	0.2	10	|	50	-1	dot_product
0.0419 %	0.144 %	0.287264 %	0.4264605 %	|	0.2034 %	0.5008 %	0.43908 %	0.7602 %	0.74017 %	0.672355 %	181.40721321105957
800	0.2	10	|	55	-1	dot_product
0.0419 %	0.14406 %	0.287295 %	0.4264007 %	|	0.2038 %	0.5014 %	0.43929 %	0.7619 %	0.74094 %	0.672589 %	190.39535522460938
800	0.2	10	|	60	-1	dot_product
0.0419 %	0.14412 %	0.287331 %	0.4263465 %	|	0.2042 %	0.5019 %	0.43943 %	0.7629 %	0.74154 %	0.672784 %	195.70112228393555
800	0.2	10	|	65	-1	dot_product
0.0419 %	0.14419 %	0.287353 %	0.4262952 %	|	0.2044 %	0.5023 %	0.43956 %	0.7639 %	0.74209 %	0.67297 %	196.0735321044922
800	0.2	10	|	75	-1	dot_product
0.0419 %	0.14422 %	0.287403 %	0.4262041 %	|	0.2044 %	0.5026 %	0.43971 %	0.7652 %	0.74304 %	0.673271 %	211.09414100646973
800	0.2	10	|	90	-1	dot_product
0.0419 %	0.14424 %	0.287452 %	0.4260894 %	|	0.2044 %	0.5027 %	0.43998 %	0.7665 %	0.74423 %	0.673649 %	222.75161743164062
800	0.2	10	|	110	-1	dot_product
0.0419 %	0.14424 %	0.28752 %	0.4259495 %	|	0.2045 %	0.503 %	0.44032 %	0.7683 %	0.74559 %	0.674023 %	237.2884750366211
800	0.2	10	|	130	-1	dot_product
0.0419 %	0.14427 %	0.28756 %	0.4258248 %	|	0.2045 %	0.5036 %	0.44064 %	0.7701 %	0.74692 %	0.67433 %	252.32982635498047
800	0.2	10	|	150	-1	dot_product
0.0419 %	0.14428 %	0.287606 %	0.4257239 %	|	0.2045 %	0.5036 %	0.44083 %	0.7708 %	0.7478 %	0.674574 %	268.00990104675293
800	0.2	10	|	170	-1	dot_product
0.0419 %	0.14429 %	0.287631 %	0.425643 %	|	0.2045 %	0.5038 %	0.44098 %	0.772 %	0.74868 %	0.67481 %	283.63752365112305
