Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	16	|	110	-1	squared_l2
0.1571 %	0.22814 %	0.326521 %	0.4525218 %	|	0.4535 %	0.8122 %	0.63809 %	0.9781 %	0.94532 %	0.809493 %	359.59815979003906
800	0.2	16	|	130	-1	squared_l2
0.157 %	0.22802 %	0.326328 %	0.4519648 %	|	0.4535 %	0.8121 %	0.63793 %	0.978 %	0.94516 %	0.808889 %	388.36050033569336
800	0.2	16	|	150	-1	squared_l2
0.1569 %	0.22798 %	0.326183 %	0.4516125 %	|	0.4534 %	0.8118 %	0.63772 %	0.978 %	0.94494 %	0.808496 %	417.1180725097656
800	0.2	16	|	170	-1	squared_l2
0.1569 %	0.22794 %	0.326125 %	0.4513506 %	|	0.4533 %	0.8119 %	0.63763 %	0.9779 %	0.94481 %	0.808239 %	442.94261932373047
800	0.2	16	|	200	-1	squared_l2
0.1569 %	0.22792 %	0.326055 %	0.4511408 %	|	0.4532 %	0.8119 %	0.63758 %	0.9779 %	0.94469 %	0.80801 %	485.5165481567383
800	0.2	16	|	220	-1	squared_l2
0.1569 %	0.22791 %	0.32604 %	0.451061 %	|	0.4532 %	0.8117 %	0.63758 %	0.9779 %	0.94463 %	0.807929 %	503.9966106414795
800	0.2	16	|	250	-1	squared_l2
0.1569 %	0.22791 %	0.326027 %	0.4509847 %	|	0.4532 %	0.8117 %	0.63756 %	0.9779 %	0.94459 %	0.807847 %	547.5680828094482
800	0.2	16	|	310	-1	squared_l2
0.1569 %	0.22791 %	0.326022 %	0.4509347 %	|	0.4532 %	0.8117 %	0.63752 %	0.9779 %	0.94457 %	0.807796 %	617.5127029418945
800	0.2	16	|	400	-1	squared_l2
0.1569 %	0.22791 %	0.326019 %	0.4509266 %	|	0.4532 %	0.8117 %	0.63752 %	0.9779 %	0.94456 %	0.807793 %	729.8107147216797
800	0.2	16	|	500	-1	squared_l2
0.1569 %	0.22791 %	0.326019 %	0.450927 %	|	0.4532 %	0.8117 %	0.63752 %	0.9779 %	0.94456 %	0.807793 %	820.4140663146973
800	0.2	16	|	800	-1	squared_l2
0.1569 %	0.22791 %	0.326019 %	0.4509245 %	|	0.4532 %	0.8117 %	0.63752 %	0.9779 %	0.94456 %	0.807792 %	1158.8757038116455
800	0.4	128	|	1	-1	squared_l2
0.4026 %	0.38786 %	0.315196 %	0.2043789 %	|	0.4709 %	0.4716 %	0.40552 %	0.4716 %	0.40552 %	0.318757 %	106.43768310546875
800	0.4	128	|	2	-1	squared_l2
0.5299 %	0.5343 %	0.46237 %	0.3289548 %	|	0.6399 %	0.6407 %	0.57209 %	0.6407 %	0.57209 %	0.471873 %	136.4419460296631
