Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.5105 %	0.56965 %	0.617344 %	0.6685765 %	|	0.9049 %	0.9942 %	0.96922 %	0.9992 %	0.99846 %	0.987963 %	710510.3397369385
8000	24	256	|	384	-1	squared_l2
0.5105 %	0.56964 %	0.617368 %	0.6686441 %	|	0.9049 %	0.9942 %	0.96927 %	0.9992 %	0.99854 %	0.988147 %	839409.4228744507
8000	24	256	|	448	-1	squared_l2
0.5106 %	0.56967 %	0.617382 %	0.6686828 %	|	0.905 %	0.9943 %	0.96932 %	0.9993 %	0.99861 %	0.98823 %	968795.7191467285
8000	24	256	|	512	-1	squared_l2
0.5106 %	0.56967 %	0.617395 %	0.6687144 %	|	0.905 %	0.9943 %	0.96935 %	0.9993 %	0.99864 %	0.988301 %	1095985.450744629
8000	24	256	|	576	-1	squared_l2
0.5106 %	0.56967 %	0.617403 %	0.6687317 %	|	0.905 %	0.9943 %	0.96937 %	0.9993 %	0.99866 %	0.988343 %	1221522.6221084595
8000	24	256	|	640	-1	squared_l2
0.5106 %	0.56967 %	0.617406 %	0.668744 %	|	0.905 %	0.9943 %	0.96937 %	0.9993 %	0.99866 %	0.988369 %	1350894.9708938599
8000	24	256	|	704	-1	squared_l2
0.5106 %	0.56967 %	0.617413 %	0.668753 %	|	0.905 %	0.9943 %	0.96938 %	0.9993 %	0.99867 %	0.988402 %	1466133.6278915405
8000	24	256	|	768	-1	squared_l2
0.5106 %	0.56968 %	0.617414 %	0.6687579 %	|	0.905 %	0.9943 %	0.96939 %	0.9993 %	0.99868 %	0.988414 %	1590977.5304794312
8000	24	256	|	1024	-1	squared_l2
0.5106 %	0.56969 %	0.617421 %	0.6687659 %	|	0.9051 %	0.9944 %	0.96942 %	0.9994 %	0.99871 %	0.988439 %	2084818.7398910522
8000	24	256	|	1280	-1	squared_l2
0.5106 %	0.56969 %	0.617423 %	0.6687693 %	|	0.9051 %	0.9944 %	0.96942 %	0.9994 %	0.99871 %	0.988446 %	-1
8000	24	256	|	1536	-1	squared_l2
0.5106 %	0.56969 %	0.617424 %	0.6687708 %	|	0.9051 %	0.9944 %	0.96943 %	0.9994 %	0.99872 %	0.988454 %	-1
8000	24	256	|	2048	-1	squared_l2
0.5106 %	0.56969 %	0.617425 %	0.6687713 %	|	0.9051 %	0.9944 %	0.96943 %	0.9994 %	0.99872 %	0.988455 %	-1
8000	12	256	|	1	-1	squared_l2
0.1898 %	0.20624 %	0.221469 %	0.2374047 %	|	0.3704 %	0.4845 %	0.38903 %	0.5125 %	0.4576 %	0.382652 %	14519.872665405273
8000	12	256	|	16	-1	squared_l2
0.2587 %	0.29112 %	0.331758 %	0.3912388 %	|	0.5642 %	0.8358 %	0.66572 %	0.9414 %	0.89931 %	0.747398 %	37049.06463623047
8000	12	256	|	32	-1	squared_l2
0.2592 %	0.29353 %	0.335177 %	0.3975872 %	|	0.5706 %	0.8516 %	0.67698 %	0.9656 %	0.92632 %	0.76753 %	58238.5778427124
8000	12	256	|	64	-1	squared_l2
0.2603 %	0.29423 %	0.336287 %	0.399861 %	|	0.573 %	0.8571 %	0.68053 %	0.9749 %	0.93633 %	0.775113 %	98893.63288879395
8000	12	256	|	128	-1	squared_l2
0.2604 %	0.29433 %	0.336579 %	0.400517 %	|	0.5732 %	0.8585 %	0.68148 %	0.9779 %	0.93957 %	0.777357 %	176653.7857055664
8000	12	256	|	256	-1	squared_l2
0.2603 %	0.29436 %	0.33663 %	0.4006536 %	|	0.5733 %	0.8591 %	0.68171 %	0.9788 %	0.94018 %	0.777849 %	324545.72677612305
8000	12	256	|	320	-1	squared_l2
0.2603 %	0.29437 %	0.336641 %	0.4006637 %	|	0.5733 %	0.8591 %	0.68175 %	0.9788 %	0.94033 %	0.777923 %	396946.0964202881
8000	12	256	|	384	-1	squared_l2
0.2603 %	0.29437 %	0.33664 %	0.4006673 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94035 %	0.777933 %	468305.5830001831
8000	12	256	|	448	-1	squared_l2
0.2603 %	0.29437 %	0.33664 %	0.4006697 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94037 %	0.77794 %	538573.5034942627
8000	12	256	|	512	-1	squared_l2
0.2603 %	0.29437 %	0.33664 %	0.4006722 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94037 %	0.777949 %	608836.3599777222
8000	12	256	|	576	-1	squared_l2
0.2603 %	0.29437 %	0.336641 %	0.4006731 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94037 %	0.777954 %	682946.0906982422
8000	12	256	|	640	-1	squared_l2
0.2603 %	0.29437 %	0.336641 %	0.4006738 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94037 %	0.777957 %	756425.2424240112
8000	12	256	|	704	-1	squared_l2
0.2603 %	0.29437 %	0.336642 %	0.4006739 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94037 %	0.777958 %	816356.7638397217
8000	12	256	|	768	-1	squared_l2
0.2603 %	0.29437 %	0.336642 %	0.4006742 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94038 %	0.777959 %	885089.8456573486
8000	12	256	|	1024	-1	squared_l2
0.2603 %	0.29437 %	0.336642 %	0.4006742 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94038 %	0.777959 %	1158340.5590057373
8000	12	256	|	1280	-1	squared_l2
0.2603 %	0.29437 %	0.336642 %	0.4006743 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94038 %	0.777959 %	-1
8000	12	256	|	1536	-1	squared_l2
0.2603 %	0.29437 %	0.336642 %	0.4006743 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94038 %	0.777959 %	-1
8000	12	256	|	2048	-1	squared_l2
0.2603 %	0.29437 %	0.336642 %	0.4006743 %	|	0.5733 %	0.8591 %	0.68174 %	0.9788 %	0.94038 %	0.777959 %	-1
6000	48	256	|	1	-1	squared_l2
0.4726 %	0.46238 %	0.425366 %	0.3735648 %	|	0.5422 %	0.5429 %	0.49018 %	0.5434 %	0.49061 %	0.437767 %	18805.1700592041
6000	48	256	|	16	-1	squared_l2
0.7957 %	0.82783 %	0.843544 %	0.8403798 %	|	0.9651 %	0.966 %	0.95069 %	0.9665 %	0.95117 %	0.931305 %	122194.60964202881
6000	48	256	|	32	-1	squared_l2
0.8102 %	0.84508 %	0.86684 %	0.8759569 %	|	0.9871 %	0.9881 %	0.98052 %	0.9886 %	0.98097 %	0.970859 %	222740.56911468506
6000	48	256	|	64	-1	squared_l2
0.8147 %	0.85146 %	0.87627 %	0.8915749 %	|	0.9946 %	0.9956 %	0.993 %	0.9961 %	0.99347 %	0.98935 %	416677.04582214355
6000	48	256	|	128	-1	squared_l2
0.8167 %	0.85385 %	0.879626 %	0.8974392 %	|	0.9976 %	0.9986 %	0.99744 %	0.9991 %	0.99792 %	0.996674 %	783481.6646575928
6000	48	256	|	256	-1	squared_l2
0.817 %	0.85441 %	0.880554 %	0.8992791 %	|	0.9982 %	0.9992 %	0.99889 %	0.9997 %	0.99937 %	0.999001 %	1479962.9068374634
6000	48	256	|	320	-1	squared_l2
0.817 %	0.85447 %	0.880679 %	0.8995139 %	|	0.9982 %	0.9992 %	0.99903 %	0.9997 %	0.99951 %	0.999306 %	1815920.5436706543
6000	48	256	|	384	-1	squared_l2
0.817 %	0.85449 %	0.880727 %	0.8996315 %	|	0.9982 %	0.9992 %	0.99911 %	0.9997 %	0.99958 %	0.999457 %	2147309.8850250244
6000	48	256	|	448	-1	squared_l2
0.817 %	0.85451 %	0.880759 %	0.8997008 %	|	0.9982 %	0.9992 %	0.99915 %	0.9997 %	0.99962 %	0.999538 %	2477730.0882339478
6000	48	256	|	512	-1	squared_l2
0.817 %	0.85453 %	0.880767 %	0.8997486 %	|	0.9982 %	0.9992 %	0.99917 %	0.9997 %	0.99964 %	0.999583 %	2809041.8338775635
6000	48	256	|	576	-1	squared_l2
0.817 %	0.85453 %	0.88078 %	0.8997791 %	|	0.9982 %	0.9992 %	0.99917 %	0.9997 %	0.99964 %	0.99961 %	3131754.093170166
6000	48	256	|	640	-1	squared_l2
