Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.7897 %	0.82402 %	0.806258 %	0.7054877 %	|	0.9441 %	0.9442 %	0.9076 %	0.9442 %	0.9076 %	0.84227 %	1006.7558288574219
1500	64	256	|	32	-1	squared_l2
0.8124 %	0.85932 %	0.870268 %	0.826968 %	|	0.9806 %	0.9808 %	0.96588 %	0.9808 %	0.96588 %	0.931433 %	1120.6607818603516
1500	64	256	|	64	-1	squared_l2
0.8234 %	0.87268 %	0.897496 %	0.8964475 %	|	0.9953 %	0.9955 %	0.99135 %	0.9955 %	0.99135 %	0.979298 %	1242.323637008667
1500	64	256	|	128	-1	squared_l2
0.8254 %	0.87619 %	0.905494 %	0.9217706 %	|	0.9995 %	0.9997 %	0.99892 %	0.9997 %	0.99892 %	0.996585 %	1462.8286361694336
1500	64	256	|	256	-1	squared_l2
0.8261 %	0.87662 %	0.906778 %	0.927097 %	|	0.9998 %	1.0 %	0.99997 %	1.0 %	0.99997 %	0.999768 %	1841.7041301727295
1500	64	256	|	320	-1	squared_l2
0.826 %	0.87662 %	0.906835 %	0.9274006 %	|	0.9998 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999931 %	1969.1824913024902
1500	64	256	|	384	-1	squared_l2
0.826 %	0.87663 %	0.906856 %	0.9274975 %	|	0.9998 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999977 %	2212.057113647461
1500	64	256	|	448	-1	squared_l2
0.826 %	0.87663 %	0.906861 %	0.9275271 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999989 %	2409.451961517334
1500	64	256	|	512	-1	squared_l2
0.8259 %	0.87663 %	0.906864 %	0.9275369 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999996 %	2736.9329929351807
1500	64	256	|	576	-1	squared_l2
0.8261 %	0.87662 %	0.906865 %	0.9275398 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999998 %	2881.9093704223633
1500	64	256	|	640	-1	squared_l2
0.8261 %	0.87662 %	0.906866 %	0.9275409 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3108.1912517547607
1500	64	256	|	704	-1	squared_l2
0.8261 %	0.87662 %	0.906866 %	0.9275409 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3641.7179107666016
1500	64	256	|	768	-1	squared_l2
0.8261 %	0.87662 %	0.906866 %	0.9275411 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3809.8785877227783
1500	64	256	|	1024	-1	squared_l2
0.8261 %	0.87662 %	0.906866 %	0.9275414 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	5323.526382446289
1500	64	256	|	1280	-1	squared_l2
0.8261 %	0.87662 %	0.906867 %	0.9275414 %	|	0.9998 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	6824.33819770813
2000	16	256	|	1	-1	squared_l2
0.2925 %	0.30731 %	0.252271 %	0.1435631 %	|	0.4412 %	0.4479 %	0.36331 %	0.4479 %	0.3634 %	0.262489 %	1261.5559101104736
2000	16	256	|	16	-1	squared_l2
0.4621 %	0.54781 %	0.595083 %	0.5933465 %	|	0.866 %	0.9288 %	0.88256 %	0.9292 %	0.88993 %	0.814659 %	1346.6770648956299
2000	16	256	|	32	-1	squared_l2
0.47 %	0.56068 %	0.622639 %	0.6630015 %	|	0.8939 %	0.9709 %	0.94158 %	0.9716 %	0.95464 %	0.911019 %	1375.8232593536377
2000	16	256	|	64	-1	squared_l2
0.4728 %	0.56554 %	0.634357 %	0.698278 %	|	0.9052 %	0.9913 %	0.96866 %	0.9926 %	0.98648 %	0.967494 %	1427.598237991333
2000	16	256	|	128	-1	squared_l2
0.4733 %	0.56687 %	0.637635 %	0.7111527 %	|	0.9078 %	0.9974 %	0.97722 %	0.9988 %	0.99778 %	0.990074 %	1526.7388820648193
2000	16	256	|	256	-1	squared_l2
0.4735 %	0.56699 %	0.638098 %	0.7139114 %	|	0.9081 %	0.9985 %	0.97848 %	1.0 %	0.9998 %	0.995256 %	1686.6135597229004
2000	16	256	|	320	-1	squared_l2
