Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.0604 %	0.09685 %	0.16147 %	0.2649005 %	|	0.2009 %	0.447 %	0.31669 %	0.734 %	0.64776 %	0.496526 %	248.93927574157715
800	0.2	10	|	90	-1	dot_product
0.0604 %	0.09686 %	0.161484 %	0.2649802 %	|	0.2009 %	0.4472 %	0.31674 %	0.736 %	0.64841 %	0.496753 %	263.8430595397949
800	0.2	10	|	110	-1	dot_product
0.0604 %	0.09686 %	0.161493 %	0.2650269 %	|	0.2009 %	0.4473 %	0.31679 %	0.7362 %	0.64871 %	0.496892 %	273.09226989746094
800	0.2	10	|	130	-1	dot_product
0.0604 %	0.09686 %	0.161494 %	0.2650542 %	|	0.2009 %	0.4473 %	0.31678 %	0.7368 %	0.64894 %	0.496974 %	296.13614082336426
800	0.2	10	|	150	-1	dot_product
0.0604 %	0.09686 %	0.161496 %	0.2650667 %	|	0.2009 %	0.4473 %	0.3168 %	0.7371 %	0.64904 %	0.497015 %	313.71593475341797
800	0.2	10	|	170	-1	dot_product
0.0604 %	0.09686 %	0.161496 %	0.2650752 %	|	0.2009 %	0.4473 %	0.3168 %	0.7373 %	0.64915 %	0.497046 %	325.70767402648926
800	0.2	10	|	200	-1	dot_product
0.0604 %	0.09686 %	0.161498 %	0.2650842 %	|	0.2009 %	0.4473 %	0.3168 %	0.7375 %	0.64927 %	0.497077 %	353.5621166229248
800	0.2	10	|	220	-1	dot_product
0.0604 %	0.09686 %	0.161498 %	0.2650863 %	|	0.2009 %	0.4473 %	0.3168 %	0.7376 %	0.64932 %	0.497083 %	366.7275905609131
800	0.2	10	|	250	-1	dot_product
0.0604 %	0.09686 %	0.161498 %	0.2650885 %	|	0.2009 %	0.4473 %	0.3168 %	0.7377 %	0.64938 %	0.497098 %	391.18337631225586
800	0.2	10	|	310	-1	dot_product
0.0604 %	0.09686 %	0.161498 %	0.2650904 %	|	0.2009 %	0.4473 %	0.3168 %	0.7378 %	0.64942 %	0.497106 %	438.1976127624512
800	0.2	10	|	400	-1	dot_product
0.0604 %	0.09686 %	0.161498 %	0.2650914 %	|	0.2009 %	0.4473 %	0.3168 %	0.7379 %	0.64945 %	0.497108 %	490.9701347351074
800	0.2	10	|	500	-1	dot_product
0.0604 %	0.09686 %	0.161498 %	0.2650912 %	|	0.2009 %	0.4473 %	0.3168 %	0.7379 %	0.64945 %	0.497107 %	570.9507465362549
800	0.2	10	|	800	-1	dot_product
0.0604 %	0.09686 %	0.161498 %	0.2650912 %	|	0.2009 %	0.4473 %	0.3168 %	0.7379 %	0.64945 %	0.497107 %	756.9930553436279
800	0.4	100	|	1	-1	dot_product
0.3189 %	0.33437 %	0.306577 %	0.2092758 %	|	0.3544 %	0.3545 %	0.34824 %	0.3545 %	0.34824 %	0.309888 %	109.4048023223877
800	0.4	100	|	2	-1	dot_product
