Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
0.019 %	0.0337 %	0.07371 %	0.199149 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.6009 %	0.41229 %	83.05549621582031
800	0.2	16	|	200	-1	dot_product
0.019 %	0.0337 %	0.0737 %	0.199144 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.6009 %	0.41228 %	78.33623886108398
800	0.2	16	|	220	-1	dot_product
0.019 %	0.0337 %	0.0737 %	0.199146 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.6009 %	0.41227 %	102.76031494140625
800	0.2	16	|	250	-1	dot_product
0.019 %	0.0337 %	0.0737 %	0.199147 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.601 %	0.41227 %	108.05845260620117
800	0.2	16	|	310	-1	dot_product
0.019 %	0.0337 %	0.0737 %	0.199147 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.601 %	0.41227 %	109.42888259887695
800	0.2	16	|	400	-1	dot_product
0.019 %	0.0337 %	0.0737 %	0.199147 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.601 %	0.41227 %	121.48928642272949
800	0.2	16	|	500	-1	dot_product
0.019 %	0.0337 %	0.0737 %	0.199147 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.601 %	0.41227 %	151.37362480163574
800	0.2	16	|	800	-1	dot_product
0.019 %	0.0337 %	0.0737 %	0.199147 %	|	0.08 %	0.265 %	0.1652 %	0.717 %	0.601 %	0.41227 %	176.84316635131836
800	0.2	8	|	1	-1	dot_product
0.008 %	0.0147 %	0.04983 %	0.176412 %	|	0.029 %	0.147 %	0.0885 %	0.372 %	0.3375 %	0.27872 %	35.486459732055664
800	0.2	8	|	2	-1	dot_product
0.008 %	0.0169 %	0.05099 %	0.184411 %	|	0.034 %	0.157 %	0.0975 %	0.482 %	0.4154 %	0.32055 %	28.550148010253906
800	0.2	8	|	4	-1	dot_product
0.009 %	0.0174 %	0.04987 %	0.178082 %	|	0.036 %	0.162 %	0.0994 %	0.545 %	0.4516 %	0.32845 %	32.012224197387695
800	0.2	8	|	8	-1	dot_product
0.009 %	0.018 %	0.04893 %	0.169221 %	|	0.037 %	0.168 %	0.0997 %	0.559 %	0.4586 %	0.32037 %	34.62076187133789
800	0.2	8	|	16	-1	dot_product
0.01 %	0.0181 %	0.0479 %	0.160581 %	|	0.039 %	0.165 %	0.0982 %	0.546 %	0.4466 %	0.30731 %	34.83939170837402
800	0.2	8	|	25	-1	dot_product
0.01 %	0.0183 %	0.04742 %	0.156643 %	|	0.039 %	0.164 %	0.0975 %	0.545 %	0.4405 %	0.30094 %	51.82790756225586
