Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.0451 %	0.04993 %	0.049776 %	0.0500997 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049784 %	1331868.0238723755
8000	32	256	|	448	-1	squared_l2
0.0451 %	0.04993 %	0.049777 %	0.0501128 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049785 %	1540499.6919631958
8000	32	256	|	512	-1	squared_l2
0.0451 %	0.04993 %	0.049777 %	0.0501201 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049785 %	1748149.0182876587
8000	32	256	|	576	-1	squared_l2
0.0451 %	0.04993 %	0.04978 %	0.0501253 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049788 %	1958167.6721572876
8000	32	256	|	640	-1	squared_l2
0.0451 %	0.04993 %	0.049783 %	0.0501283 %	|	0.0498 %	0.0498 %	0.04998 %	0.0498 %	0.04998 %	0.049791 %	2189103.5509109497
8000	32	256	|	704	-1	squared_l2
0.0451 %	0.04993 %	0.049784 %	0.0501303 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049792 %	2355667.0093536377
8000	32	256	|	768	-1	squared_l2
0.0451 %	0.04993 %	0.049786 %	0.0501321 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049794 %	2553154.6926498413
8000	32	256	|	1024	-1	squared_l2
0.0451 %	0.04993 %	0.049788 %	0.0501343 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049796 %	3351688.241958618
8000	16	256	|	1	-1	squared_l2
0.0192 %	0.02026 %	0.018353 %	0.0156211 %	|	0.0222 %	0.0222 %	0.02051 %	0.0222 %	0.02051 %	0.018403 %	18577.427864074707
8000	16	256	|	16	-1	squared_l2
0.0347 %	0.04422 %	0.044148 %	0.0425591 %	|	0.0465 %	0.0469 %	0.04634 %	0.0469 %	0.04641 %	0.04466 %	48245.534896850586
8000	16	256	|	32	-1	squared_l2
0.0357 %	0.046 %	0.046792 %	0.0462928 %	|	0.0481 %	0.0486 %	0.04852 %	0.0486 %	0.04859 %	0.047514 %	76735.08167266846
8000	16	256	|	64	-1	squared_l2
0.0362 %	0.04671 %	0.048043 %	0.0484262 %	|	0.0491 %	0.0497 %	0.04952 %	0.0497 %	0.0496 %	0.048975 %	130370.23067474365
8000	16	256	|	128	-1	squared_l2
0.0363 %	0.04688 %	0.048511 %	0.0493903 %	|	0.0492 %	0.0498 %	0.04983 %	0.0498 %	0.04991 %	0.049563 %	233756.09397888184
8000	16	256	|	256	-1	squared_l2
0.0363 %	0.04695 %	0.048648 %	0.0497101 %	|	0.0492 %	0.0498 %	0.0499 %	0.0498 %	0.04998 %	0.049746 %	434146.3565826416
8000	16	256	|	320	-1	squared_l2
0.0363 %	0.04695 %	0.048662 %	0.0497465 %	|	0.0492 %	0.0498 %	0.0499 %	0.0498 %	0.04998 %	0.049765 %	532954.4353485107
8000	16	256	|	384	-1	squared_l2
0.0363 %	0.04695 %	0.048667 %	0.0497648 %	|	0.0492 %	0.0498 %	0.0499 %	0.0498 %	0.04998 %	0.049777 %	629486.8612289429
8000	16	256	|	448	-1	squared_l2
0.0363 %	0.04695 %	0.048667 %	0.049775 %	|	0.0492 %	0.0498 %	0.0499 %	0.0498 %	0.04998 %	0.049778 %	726761.965751648
8000	16	256	|	512	-1	squared_l2
0.0363 %	0.04695 %	0.048666 %	0.0497809 %	|	0.0492 %	0.0498 %	0.0499 %	0.0498 %	0.04998 %	0.049778 %	823186.3069534302
8000	16	256	|	576	-1	squared_l2
0.0363 %	0.04695 %	0.048667 %	0.0497855 %	|	0.0492 %	0.0498 %	0.0499 %	0.0498 %	0.04998 %	0.049781 %	924679.913520813
8000	16	256	|	640	-1	squared_l2
0.0363 %	0.04695 %	0.048669 %	0.0497873 %	|	0.0492 %	0.0498 %	0.0499 %	0.0498 %	0.04998 %	0.049784 %	1017556.8389892578
8000	16	256	|	704	-1	squared_l2
0.0363 %	0.04695 %	0.04867 %	0.0497889 %	|	0.0492 %	0.0498 %	0.04991 %	0.0498 %	0.04999 %	0.049785 %	1110738.6922836304
8000	16	256	|	768	-1	squared_l2
0.0363 %	0.04695 %	0.048671 %	0.04979 %	|	0.0492 %	0.0498 %	0.04991 %	0.0498 %	0.04999 %	0.049787 %	1202500.925064087
8000	16	256	|	1024	-1	squared_l2
0.0363 %	0.04695 %	0.048672 %	0.0497914 %	|	0.0492 %	0.0498 %	0.04991 %	0.0498 %	0.04999 %	0.049789 %	1576067.476272583
6000	128	256	|	1	-1	squared_l2
0.0224 %	0.02182 %	0.019509 %	0.0166822 %	|	0.0225 %	0.0225 %	0.02182 %	0.0225 %	0.02182 %	0.019509 %	36310.105323791504
6000	128	256	|	16	-1	squared_l2
0.0472 %	0.04693 %	0.045399 %	0.0435798 %	|	0.0476 %	0.0476 %	0.04693 %	0.0476 %	0.04693 %	0.045399 %	343057.77072906494
6000	128	256	|	32	-1	squared_l2
0.0487 %	0.0489 %	0.047949 %	0.0470491 %	|	0.0491 %	0.0491 %	0.0489 %	0.0491 %	0.0489 %	0.047949 %	644059.0763092041
6000	128	256	|	64	-1	squared_l2
0.0491 %	0.04966 %	0.049173 %	0.0489479 %	|	0.0495 %	0.0495 %	0.04966 %	0.0495 %	0.04966 %	0.049173 %	1212355.8950424194
6000	128	256	|	128	-1	squared_l2
0.0494 %	0.0499 %	0.049667 %	0.0497928 %	|	0.0498 %	0.0498 %	0.0499 %	0.0498 %	0.0499 %	0.049667 %	2313754.2295455933
6000	128	256	|	256	-1	squared_l2
0.0494 %	0.04997 %	0.049767 %	0.0500683 %	|	0.0498 %	0.0498 %	0.04997 %	0.0498 %	0.04997 %	0.049767 %	4414432.487487793
6000	128	256	|	320	-1	squared_l2
0.0494 %	0.04997 %	0.049779 %	0.0501004 %	|	0.0498 %	0.0498 %	0.04997 %	0.0498 %	0.04997 %	0.049779 %	5410224.256515503
6000	128	256	|	384	-1	squared_l2
0.0494 %	0.04999 %	0.049785 %	0.050114 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049785 %	6463351.159095764
6000	128	256	|	448	-1	squared_l2
0.0494 %	0.04999 %	0.04979 %	0.0501236 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.04979 %	7417253.789901733
6000	128	256	|	512	-1	squared_l2
0.0494 %	0.04999 %	0.049791 %	0.0501289 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049791 %	8457075.37651062
6000	128	256	|	576	-1	squared_l2
0.0494 %	0.04999 %	0.049793 %	0.0501313 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049793 %	9413178.663253784
6000	128	256	|	640	-1	squared_l2
0.0494 %	0.04999 %	0.049794 %	0.0501331 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049794 %	10481277.594566345
6000	128	256	|	704	-1	squared_l2
0.0494 %	0.04999 %	0.049794 %	0.0501339 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049794 %	11380416.069030762
6000	128	256	|	768	-1	squared_l2
0.0494 %	0.04999 %	0.049794 %	0.0501343 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049794 %	12408799.500465393
6000	128	256	|	1024	-1	squared_l2
0.0494 %	0.04999 %	0.049796 %	0.050136 %	|	0.0498 %	0.0498 %	0.04999 %	0.0498 %	0.04999 %	0.049796 %	16317075.1953125
6000	64	256	|	1	-1	squared_l2
0.0224 %	0.02182 %	0.019509 %	0.0166822 %	|	0.0225 %	0.0225 %	0.02182 %	0.0225 %	0.02182 %	0.019509 %	24286.093711853027
