Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
0.211 %	0.2975 %	0.36957 %	0.435719 %	|	0.563 %	0.867 %	0.7243 %	0.975 %	0.9507 %	0.82428 %	1282.057285308838
800	32	16	|	64	-1	squared_l2
0.211 %	0.2975 %	0.36986 %	0.43736 %	|	0.563 %	0.869 %	0.7253 %	0.982 %	0.9621 %	0.83119 %	2446.7577934265137
800	32	16	|	128	-1	squared_l2
0.211 %	0.2975 %	0.36991 %	0.437556 %	|	0.563 %	0.87 %	0.7255 %	0.988 %	0.9645 %	0.83228 %	4642.465114593506
800	32	16	|	192	-1	squared_l2
0.211 %	0.2975 %	0.36991 %	0.437563 %	|	0.563 %	0.87 %	0.7255 %	0.989 %	0.9648 %	0.83233 %	6776.638507843018
800	32	16	|	256	-1	squared_l2
0.211 %	0.2975 %	0.36991 %	0.437564 %	|	0.563 %	0.87 %	0.7255 %	0.989 %	0.9649 %	0.83234 %	8895.867347717285
800	32	16	|	512	-1	squared_l2
0.211 %	0.2975 %	0.36991 %	0.437564 %	|	0.563 %	0.87 %	0.7255 %	0.989 %	0.9649 %	0.83234 %	17435.68754196167
800	64	16	|	1	-1	squared_l2
