Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
0.26 %	0.245 %	0.3382 %	0.46293 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8265 %	13204.550743103027
4000	0.2	16	|	1500	-1	squared_l2
0.26 %	0.245 %	0.3382 %	0.46289 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8265 %	15259.170532226562
4000	0.2	16	|	1750	-1	squared_l2
0.26 %	0.245 %	0.3382 %	0.46289 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8265 %	17349.19548034668
4000	0.2	16	|	1900	-1	squared_l2
0.26 %	0.245 %	0.3382 %	0.46289 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8265 %	18389.94026184082
4000	0.2	16	|	2000	-1	squared_l2
0.26 %	0.245 %	0.3382 %	0.46289 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8265 %	19111.013412475586
4000	0.2	16	|	2048	-1	squared_l2
0.26 %	0.245 %	0.3382 %	0.46289 %	|	0.58 %	0.87 %	0.665 %	1.0 %	0.951 %	0.8265 %	19424.6768951416
4000	0.4	128	|	1	-1	squared_l2
0.21 %	0.192 %	0.1457 %	0.08165 %	|	0.25 %	0.25 %	0.201 %	0.25 %	0.201 %	0.1464 %	1286.911964416504
4000	0.4	128	|	2	-1	squared_l2
0.42 %	0.315 %	0.246 %	0.13793 %	|	0.47 %	0.47 %	0.335 %	0.47 %	0.335 %	0.2474 %	1466.6080474853516
4000	0.4	128	|	4	-1	squared_l2
0.53 %	0.448 %	0.3712 %	0.22379 %	|	0.6 %	0.6 %	0.48 %	0.6 %	0.48 %	0.3746 %	1737.4515533447266
4000	0.4	128	|	8	-1	squared_l2
0.56 %	0.579 %	0.5105 %	0.34393 %	|	0.66 %	0.66 %	0.633 %	0.66 %	0.633 %	0.5224 %	2054.929733276367
4000	0.4	128	|	16	-1	squared_l2
0.63 %	0.682 %	0.6306 %	0.48119 %	|	0.82 %	0.82 %	0.763 %	0.82 %	0.763 %	0.6565 %	2381.3724517822266
4000	0.4	128	|	25	-1	squared_l2
0.68 %	0.734 %	0.6966 %	0.57202 %	|	0.89 %	0.89 %	0.833 %	0.89 %	0.833 %	0.7335 %	2697.8492736816406
4000	0.4	128	|	30	-1	squared_l2
0.7 %	0.758 %	0.7271 %	0.61367 %	|	0.92 %	0.92 %	0.868 %	0.92 %	0.868 %	0.7697 %	2817.821502685547
4000	0.4	128	|	35	-1	squared_l2
0.72 %	0.768 %	0.751 %	0.64584 %	|	0.95 %	0.95 %	0.884 %	0.95 %	0.884 %	0.7998 %	3005.361557006836
4000	0.4	128	|	40	-1	squared_l2
