Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
0.95 %	0.952 %	0.9663 %	0.9621 %	|	0.99 %	0.99 %	0.995 %	0.99 %	0.995 %	0.9908 %	1249540.9965515137
1000	256	64	|	256	-1	squared_l2
0.96 %	0.956 %	0.9697 %	0.97432 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9984 %	2279615.640640259
1000	256	64	|	320	-1	squared_l2
0.96 %	0.956 %	0.9704 %	0.97555 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	2670529.365539551
1000	256	64	|	384	-1	squared_l2
0.96 %	0.956 %	0.9706 %	0.97619 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	3062569.4036483765
1000	256	64	|	448	-1	squared_l2
0.96 %	0.956 %	0.9706 %	0.97643 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	3441669.8932647705
1000	256	64	|	512	-1	squared_l2
0.96 %	0.956 %	0.9706 %	0.9766 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	3821927.4759292603
1000	256	64	|	576	-1	squared_l2
0.96 %	0.956 %	0.9706 %	0.97669 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4202272.415161133
1000	256	64	|	640	-1	squared_l2
0.96 %	0.956 %	0.9706 %	0.97673 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4620163.2261276245
1000	256	64	|	704	-1	squared_l2
0.96 %	0.956 %	0.9706 %	0.97674 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4988201.856613159
1000	256	64	|	768	-1	squared_l2
0.96 %	0.956 %	0.9706 %	0.97675 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	5392888.069152832
1000	32	256	|	1	-1	squared_l2
0.28 %	0.32 %	0.2682 %	0.18079 %	|	0.44 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	5011.177062988281
1000	32	256	|	16	-1	squared_l2
0.45 %	0.506 %	0.5534 %	0.57404 %	|	0.8 %	0.9 %	0.867 %	0.9 %	0.886 %	0.8378 %	18443.822860717773
1000	32	256	|	32	-1	squared_l2
0.47 %	0.512 %	0.5678 %	0.61196 %	|	0.82 %	0.95 %	0.918 %	0.95 %	0.945 %	0.9181 %	31740.999221801758
1000	32	256	|	64	-1	squared_l2
0.47 %	0.513 %	0.574 %	0.62874 %	|	0.82 %	0.98 %	0.935 %	0.98 %	0.978 %	0.9582 %	58215.66581726074
1000	32	256	|	128	-1	squared_l2
0.48 %	0.513 %	0.5758 %	0.63467 %	|	0.83 %	0.99 %	0.944 %	0.99 %	0.995 %	0.9755 %	109750.29468536377
1000	32	256	|	256	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.6359 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9805 %	212103.34300994873
1000	32	256	|	320	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.63604 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	263779.9024581909
1000	32	256	|	384	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.63609 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	314343.40476989746
1000	32	256	|	448	-1	squared_l2
0.48 %	0.513 %	0.5762 %	0.63608 %	|	0.83 %	1.0 %	0.946 %	1.0 %	0.999 %	0.9812 %	366155.2667617798
1000	32	256	|	512	-1	squared_l2
